User_ID,Name,Age,City,Annual_Salary,HRA_Received,Investment_80C,Medical_Insurance_80D,NPS_Contribution_80CCD,Home_Loan_Interest_24b,Home_Loan_Principal_80C,Donations_80G,Regime,Total_Deductions,Taxable_Income,Groceries,Utilities,Healthcare,Education,Entertainment,Rent_Paid,Total_Expenses,Savings,Expense_Ratio,Tax_Old_Regime,Tax_New_Regime,Best_Regime,Tax_Savings
U0010,Darshit Chand,43,Machilipatnam,905950,136365,139347,40047,30951,200000,24976,3621,Old,413966,441984,85899.0,83311.0,58098.0,84765.0,76132.0,128777,514317.0,391633.0,0.57,0.0,0.0,Old Regime,0.0
U0011,Armaan Tara,47,Patna,1586887,299290,47857,41430,15327,0,124984,4491,New,109105,1427782,56363.0,52963.0,63854.0,44233.0,79940.0,228066,521697.0,1065190.0,0.33,240834.59999999998,135556.4,New Regime,105278.19999999998
U0012,Umang Tank,35,Bangalore,908153,280662,125555,1987,12755,0,98256,15916,Old,156213,701940,62601.0,56685.0,57074.0,49697.0,95328.0,270706,590445.0,317708.0,0.65,52888.0,25194.0,New Regime,27694.0
U0013,Dishani Kadakia,35,Mumbai,1760642,164014,20700,49242,7235,0,100537,15248,New,92425,1618217,37057.0,29141.0,34982.0,49137.0,88369.0,180158,417679.0,1342963.0,0.24,297965.1,185465.1,New Regime,112499.99999999997
U0014,Yuvaan Sha,48,Jorhat,1087409,225211,93330,25105,17197,100000,135772,2511,New,238143,799266,40695.0,55261.0,48142.0,44941.0,21974.0,352944,560356.0,527053.0,0.52,72353.20000000001,34926.600000000006,New Regime,37426.600000000006
U0015,Damini Solanki,45,Ajmer,1040053,229785,144941,12948,21473,0,109331,24226,Old,203588,786465,87477.0,77245.0,39309.0,34072.0,51495.0,379967,675146.0,364907.0,0.65,69793.0,33646.5,New Regime,36146.5
U0016,Vritika Srinivasan,28,Panihati,1260395,210806,63353,13026,2031,0,7526,9546,Old,87956,1122439,22466.0,30653.0,33477.0,74047.0,93488.0,319647,577123.0,683272.0,0.46,149231.7,78365.85,New Regime,70865.85
U0017,Bhamini Chad,32,Morena,2079748,122588,100772,2773,41282,100000,103863,15612,New,260439,1769309,37416.0,50188.0,23544.0,86744.0,53213.0,360852,613749.0,1465999.0,0.3,343292.69999999995,230792.7,New Regime,112499.99999999994
U0018,Mahika Brar,48,Patna,1098168,113646,91502,45927,41863,0,73366,7848,Old,187140,861028,18220.0,59546.0,78483.0,64303.0,89157.0,223891,538611.0,559557.0,0.49,84705.6,41102.8,New Regime,43602.8
U0019,Dharmajan Kaul,27,Chinsurah,881680,53654,113943,9878,14287,200000,56096,14274,New,352382,479298,74048.0,91275.0,97851.0,21592.0,79123.0,285977,650847.0,230833.0,0.74,0.0,0.0,Old Regime,0.0
U0020,Darshit Ramakrishnan,46,Panchkula,1371375,270094,109850,42946,38679,200000,138982,21788,Old,413263,908112,49622.0,93162.0,41992.0,30943.0,43614.0,143870,402529.0,968846.0,0.29,94122.40000000001,46216.8,New Regime,47905.600000000006
U0021,Emir Luthra,45,Giridih,2385838,68743,45095,10377,44463,100000,71185,21777,Old,221712,2114126,89897.0,39256.0,80949.0,52899.0,91587.0,89283,446672.0,1939166.0,0.19,446737.8,334237.8,New Regime,112500.0
U0022,Ishita Chowdhury,26,Barasat,1492814,98368,145342,7347,32230,0,50248,17677,Old,202596,1240218,81258.0,98434.0,78038.0,36672.0,42092.0,241645,582146.0,910668.0,0.39,184565.4,98043.6,New Regime,86521.79999999999
U0023,Hiran Buch,48,Berhampur,2498404,271097,15523,33776,19037,100000,133023,2465,Old,170801,2277603,24210.0,61976.0,46878.0,70021.0,41159.0,85774,330046.0,2168358.0,0.13,495780.89999999997,383280.9,New Regime,112499.99999999994
U0024,Diya Keer,36,Jamnagar,1226196,255244,62433,3783,27052,0,79888,16304,Old,109572,1066624,52082.0,81362.0,91984.0,34533.0,30659.0,283127,567586.0,658610.0,0.46,132487.2,69993.6,New Regime,62493.600000000006
U0025,Zaina Kuruvilla,54,Sangli-Miraj & Kupwad,1934026,187513,19991,4298,3340,0,94533,15669,New,43298,1840728,81897.0,85421.0,78004.0,82484.0,33533.0,222055,586819.0,1347207.0,0.3,364718.4,252218.4,New Regime,112500.00000000003
U0026,Farhan Ravel,30,Noida,715826,169735,10775,4668,40644,0,41954,11294,Old,67381,598445,38589.0,56453.0,98209.0,75848.0,55321.0,176468,508761.0,207065.0,0.71,32189.0,0.0,New Regime,32189.0
U0027,Vanya Talwar,26,Amravati,727359,205683,84995,20671,48664,200000,89719,3175,Old,357505,319854,97559.0,51669.0,42505.0,74225.0,27265.0,360277,649173.0,78186.0,0.89,0.0,0.0,Old Regime,0.0
U0028,Taran Chawla,52,Shivpuri,406949,169891,147745,34820,45203,0,139876,7849,New,235617,121332,75609.0,83835.0,84395.0,76385.0,86698.0,80781,491705.0,-84756.0,1.21,0.0,0.0,Old Regime,0.0
U0029,Anvi Dhaliwal,45,Guntur,717537,157971,122808,34484,1141,100000,595,12473,New,270906,396631,32395.0,44846.0,38911.0,72254.0,35866.0,194586,417193.0,300344.0,0.58,0.0,0.0,Old Regime,0.0
U0030,Tushar Varma,25,Kulti,950222,62149,137686,33078,25425,100000,29592,9425,New,305614,594608,88964.0,21272.0,32197.0,33987.0,58544.0,369768,607720.0,342502.0,0.64,31421.600000000002,0.0,New Regime,31421.600000000002
U0031,Emir Bahl,36,Jammu,1180722,150102,7415,47159,19281,0,40643,12222,Old,86077,1044645,28415.0,36426.0,75331.0,63923.0,79578.0,86823,365874.0,814848.0,0.31,125893.5,66696.75,New Regime,59196.75
U0032,Rati Baria,50,Panchkula,1764133,109189,148036,20922,42049,0,62665,8444,Old,219451,1494682,68573.0,86855.0,37283.0,71829.0,50270.0,98489,421027.0,1343106.0,0.24,260904.6,148936.4,New Regime,111968.20000000001
U0033,Emir Krish,46,Nadiad,2332247,288976,37044,34028,20425,200000,5972,8210,New,299707,1982540,62595.0,42442.0,53535.0,85241.0,45228.0,251033,547913.0,1784334.0,0.23,407262.0,294762.0,New Regime,112500.0
U0034,Charvi Walia,53,Jorhat,1753038,202747,49976,45925,34806,100000,15882,2759,New,233466,1469572,92713.0,87684.0,84528.0,97156.0,87041.0,371262,823875.0,929163.0,0.47,253371.6,143914.4,New Regime,109457.20000000001
U0035,Hunar Dube,36,Bathinda,650875,121031,3832,20316,32113,100000,25020,16091,New,172352,428523,41873.0,44493.0,42727.0,43890.0,75502.0,180417,431531.0,219344.0,0.66,0.0,0.0,Old Regime,0.0
U0036,Saanvi Kulkarni,49,Aurangabad,863389,92668,34148,11460,4270,0,102621,21639,New,71517,741872,36328.0,98156.0,43472.0,68506.0,94651.0,161816,497193.0,366196.0,0.58,60874.4,29187.2,New Regime,31687.2
U0037,Sana Bhakta,41,Akola,470390,194745,112230,16968,42814,0,85374,24798,Old,196810,223580,69104.0,57357.0,60917.0,36157.0,86787.0,233335,541696.0,-71306.0,1.15,0.0,0.0,Old Regime,0.0
U0038,Saanvi Issac,51,Parbhani,1107689,257738,85076,30266,4683,0,44912,2,Old,120027,937662,29514.0,72128.0,46006.0,53351.0,77908.0,355709,634227.0,473462.0,0.57,100032.40000000001,50649.3,New Regime,49383.100000000006
U0039,Hiran Rajan,51,Ahmednagar,653490,138204,38402,30209,49646,0,12879,24514,Old,142771,460719,80980.0,19156.0,62374.0,36339.0,71375.0,231426,508821.0,144669.0,0.78,0.0,0.0,Old Regime,0.0
U0040,Taimur Kala,34,Gaya,2015952,261830,38578,24000,39884,0,33798,17643,Old,120105,1845847,48054.0,34250.0,96474.0,85337.0,82861.0,254023,600581.0,1415371.0,0.3,366254.1,253754.09999999998,New Regime,112500.0
U0041,Ahana  Master,52,Rohtak,1696516,246501,90453,14011,29809,200000,107791,8190,Old,342463,1304053,66626.0,94233.0,95454.0,50164.0,70122.0,103648,484485.0,1212031.0,0.29,203715.9,110810.6,New Regime,92905.29999999999
U0042,Inaaya  Shah,52,Phusro,1956617,204741,75715,2866,34552,0,75791,20707,New,133840,1772777,41196.0,56464.0,62622.0,76378.0,53035.0,121971,407740.0,1548877.0,0.21,344333.1,231833.09999999998,New Regime,112500.0
U0043,Tiya Sama,40,Muzaffarpur,1665040,215140,111435,47133,3786,0,66983,15248,Old,177602,1437438,75948.0,90651.0,70814.0,32911.0,77197.0,98658,444552.0,1220488.0,0.27,243731.4,137487.6,New Regime,106243.79999999999
U0044,Hansh Banerjee,39,Guna,1959312,269861,95742,5898,21650,100000,133922,5773,New,229063,1680249,95197.0,38470.0,45072.0,77101.0,31145.0,101253,387788.0,1571524.0,0.2,316574.69999999995,204074.7,New Regime,112499.99999999994
U0045,Navya Hayer,54,Ajmer,2254971,190507,45475,18395,28706,100000,11953,12786,New,205362,1999609,41388.0,67350.0,28226.0,71123.0,58735.0,259635,527502.0,1727469.0,0.23,412382.7,299882.69999999995,New Regime,112500.00000000006
U0046,Ehsaan Ganesh,54,Hapur,1050199,275160,60142,39019,9190,0,106410,18952,New,127303,872896,29071.0,40229.0,64667.0,92796.0,43518.0,237462,503851.0,546348.0,0.48,87079.2,42289.600000000006,New Regime,44789.59999999999
U0047,Eshani Khatri,39,Ranchi,2249396,233321,93526,37707,38196,100000,125155,15037,Old,284466,1914930,42099.0,54377.0,66754.0,44313.0,25180.0,262650,495222.0,1754174.0,0.22,386979.0,274479.0,New Regime,112500.0
U0048,Kartik Dey,54,Sirsa,1028861,87384,51001,4006,39449,0,81029,1885,New,96341,882520,56866.0,24530.0,34274.0,48737.0,39824.0,290097,493065.0,535796.0,0.48,89004.0,43252.0,New Regime,45752.0
U0049,Devansh Dhingra,43,Jhansi,1061614,131929,57649,34393,39661,0,4055,7060,Old,138763,872851,42804.0,47628.0,60963.0,40515.0,56332.0,183850,430040.0,631574.0,0.41,87070.2,42285.100000000006,New Regime,44785.09999999999
U0050,Advika Dasgupta,36,Kolkata,1079574,177959,144228,10956,29709,0,38170,16331,New,201224,828350,70642.0,75028.0,80421.0,88005.0,29798.0,217924,557495.0,522079.0,0.52,78170.0,37835.0,New Regime,40335.0
U0051,Akarsh Deo,47,Kirari Suleman Nagar,898870,126153,25711,30663,45429,200000,99976,7844,Old,309647,539223,75204.0,87372.0,70124.0,89223.0,70241.0,306058,692273.0,206597.0,0.77,20344.6,0.0,New Regime,20344.6
U0052,Abram Bhardwaj,44,Jaunpur,1066997,285128,30106,6078,14892,0,28251,22495,New,73571,943426,45973.0,28392.0,70293.0,47552.0,84052.0,213623,491905.0,575092.0,0.46,101185.20000000001,51513.9,New Regime,49671.30000000001
U0053,Jivika Sabharwal,49,Tezpur,2126351,125388,65458,29631,9643,0,135604,13450,Old,118182,1958169,47939.0,66443.0,33906.0,64523.0,24622.0,141001,373650.0,1752701.0,0.18,399950.7,287450.69999999995,New Regime,112500.00000000006
U0054,Badal Bhat,27,Ujjain,1472647,81401,147661,30140,9943,0,135996,9491,New,197235,1225412,18864.0,84848.0,34757.0,57807.0,53400.0,260231,511543.0,961104.0,0.35,180123.59999999998,95082.4,New Regime,85041.19999999998
U0055,Sana Talwar,29,Ghaziabad,2031107,252903,130429,41691,43240,200000,48037,18722,New,434082,1547025,98117.0,31863.0,69340.0,83374.0,24013.0,202775,510178.0,1520929.0,0.25,276607.5,164107.5,New Regime,112500.0
U0056,Purab Dar,43,Ambala,1428455,169503,101754,3961,45760,0,92115,9268,New,160743,1217712,72914.0,76170.0,62625.0,39263.0,94605.0,113243,454029.0,974426.0,0.32,177813.6,93542.4,New Regime,84271.20000000001
U0057,Khushi Deo,31,Faridabad,1312259,296832,138286,29277,21042,0,77926,20142,New,208747,1053512,26211.0,46584.0,24830.0,42750.0,74242.0,232872,449265.0,862994.0,0.34,128553.6,68026.8,New Regime,60526.8
U0058,Riya Tank,45,Tadipatri,1705794,282601,126479,41574,43894,0,70400,21194,Old,233141,1422653,93985.0,48984.0,32757.0,81973.0,52552.0,399972,713731.0,992063.0,0.42,239295.9,134530.6,New Regime,104765.29999999999
U0059,Ishaan Mane,33,Hubli–Dharwad,1663455,177834,136213,31417,6869,0,99525,9139,Old,183638,1429817,98563.0,34593.0,83885.0,34382.0,73372.0,341716,667259.0,996196.0,0.4,241445.09999999998,135963.4,New Regime,105481.69999999998
U0060,Kashvi Bala,31,Proddatur,1812290,84084,28884,22484,40437,100000,101164,6791,Old,198596,1563694,33082.0,45582.0,42871.0,83801.0,86353.0,348854,637810.0,1174480.0,0.35,281608.19999999995,169108.2,New Regime,112499.99999999994
U0061,Hrishita Swaminathan,42,Vijayanagaram,2350367,160641,2708,18103,44306,100000,141774,7171,New,172288,2128079,83632.0,85589.0,77800.0,25519.0,44686.0,251918,564425.0,1785942.0,0.24,450923.7,338423.69999999995,New Regime,112500.00000000006
U0062,Yakshit Tank,28,Solapur,2310705,155111,18375,29345,42833,0,106732,19115,New,109668,2151037,45534.0,88839.0,87434.0,96114.0,90732.0,299055,709505.0,1601200.0,0.31,457811.1,345311.1,New Regime,112500.0
U0063,Tejas Dugar,49,Kota,2001596,236898,15088,46326,20918,0,15385,17253,New,99585,1852011,48660.0,43632.0,31506.0,22047.0,24296.0,380135,549110.0,1452486.0,0.27,368103.3,255603.3,New Regime,112500.0
U0064,Divyansh Deep,52,Mehsana,1328818,217523,57615,39454,28379,0,9336,21550,New,146998,1131820,90273.0,52544.0,60328.0,52591.0,40173.0,290129,578366.0,750452.0,0.44,152046.0,79773.0,New Regime,72273.0
U0065,Sahil Varughese,38,Lucknow,1929297,188299,110138,1587,42939,0,65421,93,New,154757,1724540,59770.0,76622.0,33179.0,20431.0,45764.0,288139,519071.0,1410226.0,0.27,329862.0,217362.0,New Regime,112500.0
U0066,Jhanvi Gole,42,Saharanpur,1559771,212982,10014,42571,25274,0,36021,2987,New,80846,1428925,72387.0,52208.0,99904.0,37287.0,85069.0,160257,508461.0,1051310.0,0.33,241177.5,135785.0,New Regime,105392.5
U0067,Misha Master,50,Mango,1485244,86041,134345,21031,17696,100000,134854,12847,Old,285919,1149325,35080.0,92455.0,85268.0,99697.0,99262.0,379855,792317.0,692927.0,0.53,157297.5,82398.75,New Regime,74898.75
U0068,Saksham Sen,33,Kottayam,1447172,138920,102842,26212,2962,200000,117369,9967,Old,341983,1055189,64530.0,65821.0,94667.0,39824.0,29732.0,86530,372695.0,1074477.0,0.26,129056.7,68278.35,New Regime,60778.34999999999
U0069,Eva Chawla,50,Anantapur,1598425,115681,78077,10350,13851,200000,49111,16218,Old,318496,1229929,57717.0,68212.0,59403.0,48368.0,25429.0,353260,610197.0,988228.0,0.38,181478.7,95985.8,New Regime,85492.90000000001
U0070,Shamik D’Alia,45,Rohtak,451745,284386,139784,18816,45747,200000,89402,10452,Old,414799,0,45299.0,50102.0,93661.0,69355.0,25793.0,145794,432518.0,19227.0,0.96,0.0,0.0,Old Regime,0.0
U0071,Shalv Dhar,26,Gurgaon,2494157,131571,52874,20288,5296,100000,119774,8627,Old,187085,2257072,26709.0,36330.0,24818.0,55174.0,89685.0,290545,522306.0,1971851.0,0.21,489621.6,377121.6,New Regime,112500.0
U0072,Tara Bava,44,Visakhapatnam,491865,246553,69087,29432,14745,100000,42719,4947,Old,218211,223654,62143.0,42658.0,71869.0,98963.0,52307.0,212970,543063.0,-51198.0,1.1,0.0,0.0,Old Regime,0.0
U0073,Kabir Subramanian,52,Alappuzha,1661466,249648,12297,44222,5730,0,125695,6651,Old,68900,1542566,34939.0,62027.0,48227.0,48399.0,34378.0,84135,317183.0,1344283.0,0.19,275269.8,162769.8,New Regime,112500.0
U0074,Damini Bawa,39,Loni,1472200,289030,27128,48617,13921,100000,134585,23363,Old,213029,1209171,73251.0,30532.0,60170.0,21727.0,72995.0,330870,584807.0,887393.0,0.4,175251.3,91834.2,New Regime,83417.09999999999
U0075,Nayantara Banik,52,Guwahati,1622869,177556,68368,6837,32894,0,144407,23178,New,131277,1441592,98555.0,72631.0,32892.0,36459.0,28570.0,169087,438022.0,1184847.0,0.27,244977.6,138318.4,New Regime,106659.20000000001
U0076,Jayesh Butala,31,Narasaraopet,1829551,245246,78958,34217,5602,0,104126,22908,New,141685,1637866,53337.0,31341.0,55802.0,72973.0,35859.0,276103,528697.0,1300854.0,0.29,303859.8,191359.8,New Regime,112500.0
U0077,Dharmajan Dutta,36,Bikaner,988579,76160,32920,20884,17575,100000,77658,3144,New,174523,764056,77868.0,82198.0,63714.0,97655.0,80778.0,375524,778980.0,209599.0,0.79,65311.200000000004,31405.600000000002,New Regime,33905.600000000006
U0078,Dhruv Behl,53,Kirari Suleman Nagar,1314032,296242,142228,5454,19023,0,31007,19971,New,186676,1077356,39440.0,82266.0,58766.0,49863.0,95289.0,359215,685233.0,628799.0,0.52,135706.8,71603.4,New Regime,64103.399999999994
U0079,Saksham Soman,32,Tumkur,1967438,298939,142180,9424,45349,0,106833,16460,New,213413,1704025,57726.0,68765.0,70592.0,32712.0,78302.0,100074,403263.0,1564175.0,0.2,323707.5,211207.5,New Regime,112500.0
U0080,Vivaan Kulkarni,39,Bareilly,2366382,67633,133872,36885,15997,200000,118637,8959,New,395713,1920669,46050.0,35942.0,60671.0,67224.0,41833.0,301796,547607.0,1818775.0,0.23,388700.7,276200.7,New Regime,112500.0
U0081,Hansh Dada,27,Tadepalligudem,1924350,275952,133682,41637,17750,0,120721,22937,New,216006,1658344,47934.0,99409.0,30351.0,89264.0,90355.0,147843,506892.0,1417458.0,0.26,310003.19999999995,197503.2,New Regime,112499.99999999994
U0082,Romil Rama,38,Gangtok,1317559,67014,77603,43618,41979,0,93220,8297,Old,171497,1096062,35434.0,26964.0,64941.0,25792.0,76370.0,119901,351447.0,966112.0,0.27,141318.6,74409.3,New Regime,66909.3
U0083,Baiju Sachar,41,Mangalore,1035605,130532,33872,18412,22837,200000,26393,6694,Old,281815,703790,51722.0,25946.0,20169.0,89978.0,72316.0,353349,617733.0,417872.0,0.6,53258.0,25379.0,New Regime,27879.0
U0084,Navya Kota,28,Durg,789593,99104,10728,47111,14997,100000,57480,15835,New,188671,550922,90402.0,27139.0,62692.0,46780.0,39522.0,348050,614204.0,175389.0,0.78,22684.4,0.0,New Regime,22684.4
U0085,Veer Kapur,42,Dewas,1215131,222693,95102,39613,39439,100000,117243,19257,Old,293411,871720,73583.0,47198.0,47980.0,26644.0,31447.0,142987,362617.0,852514.0,0.3,86844.0,42172.0,New Regime,44672.0
U0086,Rohan Kumar,32,Sambalpur,467661,127231,122049,20142,23067,0,88290,3346,Old,168604,249057,86162.0,27596.0,78763.0,95710.0,88014.0,134400,511978.0,-44317.0,1.09,0.0,0.0,Old Regime,0.0
U0087,Priyansh Acharya,28,Barasat,2120684,118388,20583,37392,45039,0,104263,23408,Old,126422,1944262,83113.0,70710.0,44937.0,53540.0,23897.0,236222,512965.0,1607719.0,0.24,395778.6,283278.6,New Regime,112500.0
U0088,Aaina Choudhury,26,Sultan Pur Majra,1594682,66014,85774,8848,20923,200000,140179,19532,Old,335077,1209605,24736.0,41552.0,27419.0,30492.0,70904.0,111852,306108.0,1288574.0,0.19,175381.5,91921.0,New Regime,83460.5
U0089,Yuvraj  Cheema,54,Darbhanga,2478007,142578,138335,49317,8876,100000,5993,11340,Old,307868,2120139,40568.0,94657.0,35397.0,52734.0,97433.0,394900,711299.0,1766708.0,0.29,448541.7,336041.69999999995,New Regime,112500.00000000006
U0090,Hridaan Chana,30,Secunderabad,1707506,214827,126374,13136,2887,100000,93650,244,New,242641,1414865,68561.0,27786.0,50899.0,52645.0,63118.0,199052,462659.0,1244847.0,0.27,236959.5,132973.0,New Regime,103986.5
U0091,Nitya Bir,46,Gaya,2371206,90390,91118,589,42422,0,117595,2625,Old,136754,2184452,44977.0,40895.0,27449.0,65910.0,58751.0,136481,374976.0,1996230.0,0.16,467835.6,355335.6,New Regime,112500.0
U0092,Kismat Taneja,34,Faridabad,1253499,73711,65942,20908,36854,0,52066,3849,New,127553,1075946,68325.0,74172.0,21578.0,57383.0,35691.0,343427,600314.0,653185.0,0.48,135283.8,71391.9,New Regime,63891.899999999994
U0093,Anahi Toor,28,Agra,518033,141658,13689,6509,36948,200000,111850,9597,New,266743,201290,99133.0,74928.0,19864.0,46523.0,21458.0,113691,373974.0,144059.0,0.72,0.0,0.0,Old Regime,0.0
U0094,Samaira Sahota,46,Firozabad,1030265,107993,33276,40461,2841,0,42942,7737,New,84315,895950,38197.0,84767.0,97755.0,95592.0,53871.0,278137,649047.0,381218.0,0.63,91690.0,44595.0,New Regime,47095.0
U0095,Keya Saraf,53,Kishanganj,2078050,255768,101968,42222,28756,100000,16138,14024,Old,286970,1741080,43279.0,35759.0,93838.0,75086.0,65073.0,106170,419236.0,1658814.0,0.2,334824.0,222324.0,New Regime,112500.0
U0096,Ivana Bassi,42,Sirsa,1615502,208285,13050,49223,6040,0,118558,12000,New,80313,1485189,51374.0,39268.0,50490.0,99640.0,21004.0,88438,352917.0,1262585.0,0.22,258056.69999999998,147037.8,New Regime,111018.9
U0097,Kimaya Bali,50,Bhubaneswar,2019135,296860,66216,44476,10304,100000,9190,8333,New,229329,1739806,58868.0,21706.0,100120.0,73407.0,56728.0,362239,673762.0,1345373.0,0.33,334441.8,221941.8,New Regime,112500.0
U0098,Anika Madan,36,Surat,831734,286028,84040,45710,30341,200000,92259,17276,New,377367,404367,27388.0,52694.0,85151.0,20084.0,41824.0,227226,452463.0,379271.0,0.54,0.0,0.0,Old Regime,0.0
U0099,Parinaaz Mann,26,Barasat,1821796,238856,21644,49420,4758,100000,78422,21871,New,197693,1574103,72606.0,71091.0,21512.0,38504.0,99192.0,351896,655881.0,1165915.0,0.36,284730.9,172230.9,New Regime,112500.00000000003
U0100,Samarth Dubey,34,Motihari,2498214,57421,62021,9968,17010,0,82315,23635,Old,112634,2335580,68604.0,84289.0,26018.0,32853.0,99912.0,135426,448870.0,2049344.0,0.18,513174.0,400674.0,New Regime,112500.0
U0101,Mannat Bir,54,Jamnagar,1848021,268008,42291,2462,31658,100000,29086,7310,New,183721,1614300,93074.0,58055.0,86358.0,40661.0,69797.0,319968,670659.0,1177362.0,0.36,296790.0,184290.0,New Regime,112500.0
U0102,Trisha Rajagopalan,28,Jalgaon,1898585,280145,132610,9460,49002,100000,148394,2399,New,293471,1555114,70157.0,73063.0,25280.0,24484.0,74813.0,368963,641561.0,1257024.0,0.34,279034.19999999995,166534.2,New Regime,112499.99999999994
U0103,Sara Banik,38,Ballia,1170173,67727,41520,33783,37782,0,125604,4640,New,117725,1002448,43189.0,59391.0,34946.0,50212.0,86702.0,235289,509537.0,660636.0,0.44,113234.4,60367.2,New Regime,52867.2
U0104,Charvi Lad,40,Nangloi Jat,1058956,162418,25675,9275,1375,200000,100814,19344,New,255669,753287,99499.0,26971.0,29923.0,73327.0,52281.0,341501,621132.0,437824.0,0.59,63157.4,30328.7,New Regime,32828.7
U0105,Tanya Raj,39,Durg,1847960,54358,149359,28677,33949,100000,119324,10391,Old,322376,1475584,94022.0,34644.0,75571.0,82451.0,98613.0,299780,686625.0,1161335.0,0.37,255175.19999999998,145116.8,New Regime,110058.4
U0106,Anika Shah,32,Indore,2080963,115108,174,13269,22092,200000,128921,23709,New,259244,1771719,70852.0,97619.0,90741.0,21920.0,33020.0,375138,689059.0,1391904.0,0.33,344015.69999999995,231515.7,New Regime,112499.99999999994
U0107,Trisha Sani,38,Tiruppur,867010,144018,92268,406,490,100000,3435,17853,New,211017,605993,41127.0,69338.0,57617.0,47857.0,69688.0,226108,517195.0,349815.0,0.6,33698.600000000006,0.0,New Regime,33698.600000000006
U0108,Inaaya  Bhat,47,Khandwa,2055016,174457,34998,7384,3729,0,101505,10892,New,57003,1948013,26827.0,51906.0,28109.0,82234.0,64087.0,288347,534797.0,1520219.0,0.26,396903.89999999997,284403.9,New Regime,112499.99999999994
U0109,Hansh Magar,52,Gudivada,2097900,213189,143184,22553,5974,0,53331,11197,New,182908,1864992,64198.0,68223.0,28864.0,91751.0,99077.0,177756,526622.0,1571278.0,0.25,371997.6,259497.59999999998,New Regime,112500.0
U0110,Ivan Ravi,49,Junagadh,786193,269772,105410,24366,19680,0,113457,13050,New,162506,573687,102175.0,85889.0,81715.0,28930.0,20572.0,175665,488819.0,297374.0,0.62,27237.4,0.0,New Regime,27237.4
U0111,Vihaan Kurian,54,Munger,426734,81910,75225,44036,18324,200000,52389,3374,New,340959,35775,94247.0,72699.0,43934.0,81445.0,60770.0,211717,568982.0,-142248.0,1.33,0.0,0.0,Old Regime,0.0
U0112,Manikya Karnik,32,Siliguri,1323875,176888,44814,17369,31334,100000,53014,12911,Old,206428,1067447,84781.0,85508.0,53691.0,24990.0,52959.0,242002,548126.0,775749.0,0.41,132734.1,70117.05,New Regime,62617.05
U0113,Stuvan Dayal,45,Mango,937198,279104,85091,11795,21398,100000,30297,8847,New,227131,660067,40052.0,86083.0,32003.0,52914.0,24609.0,341691,580000.0,357198.0,0.62,44513.4,0.0,New Regime,44513.4
