User_ID,Name,Age,City,Annual_Salary,HRA_Received,Rent_Paid,Investment_80C,Medical_Insurance_80D,NPS_Contribution_80CCD,Home_Loan_Interest_24b,Home_Loan_Principal_80C,Donations_80G,Regime,Total_Deductions,Taxable_Income
U0041,Ahana  Master,52,Rohtak,1696516,246501,103648,90453,14011,29809,200000,107791,8190,Old,342463,1304053
U0042,Inaaya  Shah,52,Phusro,1956617,204741,121971,75715,2866,34552,0,75791,20707,New,133840,1772777
U0043,Tiya Sama,40,Muzaffarpur,1665040,215140,98658,111435,47133,3786,0,66983,15248,Old,177602,1437438
U0044,Hansh Banerjee,39,Guna,1959312,269861,101253,95742,5898,21650,100000,133922,5773,New,229063,1680249
U0045,Navya Hayer,54,Ajmer,2254971,190507,259635,45475,18395,28706,100000,11953,12786,New,205362,1999609
U0046,Ehsaan Ganesh,54,Hapur,1050199,275160,237462,60142,39019,9190,0,106410,18952,New,127303,872896
U0047,Eshani Khatri,39,Ranchi,2249396,233321,262650,93526,37707,38196,100000,125155,15037,Old,284466,1914930
U0048,Kartik Dey,54,Sirsa,1028861,87384,290097,51001,4006,39449,0,81029,1885,New,96341,882520
U0049,Devansh Dhingra,43,Jhansi,1061614,131929,183850,57649,34393,39661,0,4055,7060,Old,138763,872851
U0050,Advika Dasgupta,36,Kolkata,1079574,177959,217924,144228,10956,29709,0,38170,16331,New,201224,828350
U0051,Akarsh Deo,47,Kirari Suleman Nagar,898870,126153,306058,25711,30663,45429,200000,99976,7844,Old,309647,539223
U0052,Abram Bhardwaj,44,Jaunpur,1066997,285128,213623,30106,6078,14892,0,28251,22495,New,73571,943426
U0053,Jivika Sabharwal,49,Tezpur,2126351,125388,141001,65458,29631,9643,0,135604,13450,Old,118182,1958169
U0054,Badal Bhat,27,Ujjain,1472647,81401,260231,147661,30140,9943,0,135996,9491,New,197235,1225412
U0055,Sana Talwar,29,Ghaziabad,2031107,252903,202775,130429,41691,43240,200000,48037,18722,New,434082,1547025
U0056,Purab Dar,43,Ambala,1428455,169503,113243,101754,3961,45760,0,92115,9268,New,160743,1217712
U0057,Khushi Deo,31,Faridabad,1312259,296832,232872,138286,29277,21042,0,77926,20142,New,208747,1053512
U0058,Riya Tank,45,Tadipatri,1705794,282601,399972,126479,41574,43894,0,70400,21194,Old,233141,1422653
U0059,Ishaan Mane,33,Hubli–Dharwad,1663455,177834,341716,136213,31417,6869,0,99525,9139,Old,183638,1429817
U0060,Kashvi Bala,31,Proddatur,1812290,84084,348854,28884,22484,40437,100000,101164,6791,Old,198596,1563694
U0061,Hrishita Swaminathan,42,Vijayanagaram,2350367,160641,251918,2708,18103,44306,100000,141774,7171,New,172288,2128079
U0062,Yakshit Tank,28,Solapur,2310705,155111,299055,18375,29345,42833,0,106732,19115,New,109668,2151037
U0063,Tejas Dugar,49,Kota,2001596,236898,380135,15088,46326,20918,0,15385,17253,New,99585,1852011
U0064,Divyansh Deep,52,Mehsana,1328818,217523,290129,57615,39454,28379,0,9336,21550,New,146998,1131820
U0065,Sahil Varughese,38,Lucknow,1929297,188299,288139,110138,1587,42939,0,65421,93,New,154757,1724540
U0066,Jhanvi Gole,42,Saharanpur,1559771,212982,160257,10014,42571,25274,0,36021,2987,New,80846,1428925
U0067,Misha Master,50,Mango,1485244,86041,379855,134345,21031,17696,100000,134854,12847,Old,285919,1149325
U0068,Saksham Sen,33,Kottayam,1447172,138920,86530,102842,26212,2962,200000,117369,9967,Old,341983,1055189
U0069,Eva Chawla,50,Anantapur,1598425,115681,353260,78077,10350,13851,200000,49111,16218,Old,318496,1229929
U0070,Shamik D’Alia,45,Rohtak,451745,284386,145794,139784,18816,45747,200000,89402,10452,Old,414799,0
U0071,Shalv Dhar,26,Gurgaon,2494157,131571,290545,52874,20288,5296,100000,119774,8627,Old,187085,2257072
U0072,Tara Bava,44,Visakhapatnam,491865,246553,212970,69087,29432,14745,100000,42719,4947,Old,218211,223654
U0073,Kabir Subramanian,52,Alappuzha,1661466,249648,84135,12297,44222,5730,0,125695,6651,Old,68900,1542566
U0074,Damini Bawa,39,Loni,1472200,289030,330870,27128,48617,13921,100000,134585,23363,Old,213029,1209171
U0075,Nayantara Banik,52,Guwahati,1622869,177556,169087,68368,6837,32894,0,144407,23178,New,131277,1441592
U0076,Jayesh Butala,31,Narasaraopet,1829551,245246,276103,78958,34217,5602,0,104126,22908,New,141685,1637866
U0077,Dharmajan Dutta,36,Bikaner,988579,76160,375524,32920,20884,17575,100000,77658,3144,New,174523,764056
U0078,Dhruv Behl,53,Kirari Suleman Nagar,1314032,296242,359215,142228,5454,19023,0,31007,19971,New,186676,1077356
U0079,Saksham Soman,32,Tumkur,1967438,298939,100074,142180,9424,45349,0,106833,16460,New,213413,1704025
U0080,Vivaan Kulkarni,39,Bareilly,2366382,67633,301796,133872,36885,15997,200000,118637,8959,New,395713,1920669
U0081,Hansh Dada,27,Tadepalligudem,1924350,275952,147843,133682,41637,17750,0,120721,22937,New,216006,1658344
U0082,Romil Rama,38,Gangtok,1317559,67014,119901,77603,43618,41979,0,93220,8297,Old,171497,1096062
U0083,Baiju Sachar,41,Mangalore,1035605,130532,353349,33872,18412,22837,200000,26393,6694,Old,281815,703790
U0084,Navya Kota,28,Durg,789593,99104,348050,10728,47111,14997,100000,57480,15835,New,188671,550922
U0085,Veer Kapur,42,Dewas,1215131,222693,142987,95102,39613,39439,100000,117243,19257,Old,293411,871720
U0086,Rohan Kumar,32,Sambalpur,467661,127231,134400,122049,20142,23067,0,88290,3346,Old,168604,249057
U0087,Priyansh Acharya,28,Barasat,2120684,118388,236222,20583,37392,45039,0,104263,23408,Old,126422,1944262
U0088,Aaina Choudhury,26,Sultan Pur Majra,1594682,66014,111852,85774,8848,20923,200000,140179,19532,Old,335077,1209605
U0089,Yuvraj  Cheema,54,Darbhanga,2478007,142578,394900,138335,49317,8876,100000,5993,11340,Old,307868,2120139
U0090,Hridaan Chana,30,Secunderabad,1707506,214827,199052,126374,13136,2887,100000,93650,244,New,242641,1414865
U0091,Nitya Bir,46,Gaya,2371206,90390,136481,91118,589,42422,0,117595,2625,Old,136754,2184452
U0092,Kismat Taneja,34,Faridabad,1253499,73711,343427,65942,20908,36854,0,52066,3849,New,127553,1075946
U0093,Anahi Toor,28,Agra,518033,141658,113691,13689,6509,36948,200000,111850,9597,New,266743,201290
U0094,Samaira Sahota,46,Firozabad,1030265,107993,278137,33276,40461,2841,0,42942,7737,New,84315,895950
U0095,Keya Saraf,53,Kishanganj,2078050,255768,106170,101968,42222,28756,100000,16138,14024,Old,286970,1741080
U0096,Ivana Bassi,42,Sirsa,1615502,208285,88438,13050,49223,6040,0,118558,12000,New,80313,1485189
U0097,Kimaya Bali,50,Bhubaneswar,2019135,296860,362239,66216,44476,10304,100000,9190,8333,New,229329,1739806
U0098,Anika Madan,36,Surat,831734,286028,227226,84040,45710,30341,200000,92259,17276,New,377367,404367
U0099,Parinaaz Mann,26,Barasat,1821796,238856,351896,21644,49420,4758,100000,78422,21871,New,197693,1574103
U0100,Samarth Dubey,34,Motihari,2498214,57421,135426,62021,9968,17010,0,82315,23635,Old,112634,2335580
U0101,Mannat Bir,54,Jamnagar,1848021,268008,319968,42291,2462,31658,100000,29086,7310,New,183721,1614300
U0102,Trisha Rajagopalan,28,Jalgaon,1898585,280145,368963,132610,9460,49002,100000,148394,2399,New,293471,1555114
U0103,Sara Banik,38,Ballia,1170173,67727,235289,41520,33783,37782,0,125604,4640,New,117725,1002448
U0104,Charvi Lad,40,Nangloi Jat,1058956,162418,341501,25675,9275,1375,200000,100814,19344,New,255669,753287
U0105,Tanya Raj,39,Durg,1847960,54358,299780,149359,28677,33949,100000,119324,10391,Old,322376,1475584
U0106,Anika Shah,32,Indore,2080963,115108,375138,174,13269,22092,200000,128921,23709,New,259244,1771719
U0107,Trisha Sani,38,Tiruppur,867010,144018,226108,92268,406,490,100000,3435,17853,New,211017,605993
U0108,Inaaya  Bhat,47,Khandwa,2055016,174457,288347,34998,7384,3729,0,101505,10892,New,57003,1948013
U0109,Hansh Magar,52,Gudivada,2097900,213189,177756,143184,22553,5974,0,53331,11197,New,182908,1864992
U0110,Ivan Ravi,49,Junagadh,786193,269772,175665,105410,24366,19680,0,113457,13050,New,162506,573687
U0111,Vihaan Kurian,54,Munger,426734,81910,211717,75225,44036,18324,200000,52389,3374,New,340959,35775
U0112,Manikya Karnik,32,Siliguri,1323875,176888,242002,44814,17369,31334,100000,53014,12911,Old,206428,1067447
U0113,Stuvan Dayal,45,Mango,937198,279104,341691,85091,11795,21398,100000,30297,8847,New,227131,660067
U0114,Siya Goda,40,Belgaum,1784199,105754,161835,50719,4485,34650,0,43890,14785,Old,104639,1629560
U0115,Mannat Chakrabarti,37,Dindigul,481264,243510,202232,129887,41669,21292,0,21322,10960,Old,203808,227456
U0116,Tara Rege,42,Miryalaguda,423275,159847,298561,33919,2618,35755,100000,35739,13535,New,185827,187448
U0117,Aniruddh Balay,39,Motihari,1402163,210443,323051,73155,30143,38353,0,140791,8234,Old,149885,1202278
U0118,Saksham Singhal,45,Madurai,2158489,232573,237547,71569,29425,3159,0,79553,10503,New,114656,1993833
U0119,Jivin Bhardwaj,48,Aizawl,972735,242018,123732,41328,22673,32626,100000,8314,24307,Old,220934,701801
U0120,Nirvi Guha,50,Durgapur,2400609,88467,292695,24618,9603,29351,0,93831,5122,New,68694,2281915
U0121,Ivana Arya,49,Pudukkottai,1312826,198697,388449,34675,39696,37298,0,75164,9852,Old,121521,1141305
U0122,Jayesh Lanka,52,Udupi,1262522,83893,257109,18919,5368,17065,0,107658,5387,Old,46739,1165783
U0123,Indranil Dua,52,Khandwa,1203692,126329,89346,4173,4621,21638,0,77028,7631,New,38063,1115629
U0124,Nirvaan Sama,52,Tadipatri,1561157,81007,342731,109369,14719,1073,200000,36113,7226,Old,332387,1178770
U0125,Anahi Varghese,37,Buxar,1714532,272374,92763,26400,29227,46511,0,117174,5108,Old,107246,1557286
U0126,Tejas Dugar,33,Kozhikode,821240,220604,270237,70305,43894,18771,0,146429,18608,Old,151578,619662
U0127,Advik Barad,53,Aizawl,1344789,104253,318553,88791,7566,35461,0,20365,2110,Old,133928,1160861
U0128,Nitya Kalita,39,Tirupati,925893,62323,200987,70533,12306,42330,100000,39029,957,Old,226126,649767
U0129,Ivana Gade,37,Ratlam,1394653,161335,296823,103591,24042,29320,0,1737,7146,New,164099,1180554
U0130,Anvi Kothari,25,Purnia,587210,162356,171353,141650,15086,4340,100000,131042,560,Old,261636,275574
U0131,Veer Ganguly,49,Gulbarga,1262557,160944,301373,131060,17387,34924,0,85474,23797,Old,207168,1005389
U0132,Shamik Sehgal,31,Meerut,1607094,254451,105556,149696,27042,16184,0,78218,1312,New,194234,1362860
U0133,Ivana Kaur,33,Srinagar,1068406,195282,98099,39194,23888,40734,0,128692,18205,New,122021,896385
U0134,Pranay Mani,48,Berhampur,818034,66456,256168,109903,26514,2580,200000,128411,11595,New,350592,417442
U0135,Bhavin Bhatia,25,New Delhi,1433255,81367,283058,131461,18323,40025,200000,294,22030,Old,411839,971416
U0136,Indranil Ghose,36,Tadepalligudem,1195543,104624,224302,99303,18019,28967,0,24596,21329,Old,167618,977925
U0137,Aarush Raj,32,Aizawl,940677,191178,282041,113903,9890,2159,100000,98185,5374,Old,231326,659351
U0138,Ehsaan Bedi,48,Tezpur,2095041,284565,113866,67391,40863,48940,200000,11434,2651,Old,359845,1685196
U0139,Mishti Butala,35,Suryapet,2132682,118008,185400,144866,45487,13900,0,58382,10006,New,214259,1868423
U0140,Tushar Das,43,Bharatpur,1571459,175926,217488,58002,10283,11440,200000,38098,9933,New,289658,1231801
U0141,Farhan Wali,41,Secunderabad,2191822,165395,152516,35531,18279,14678,0,4655,21085,Old,89573,2052249
U0142,Nakul Samra,32,Gorakhpur,2366197,166492,266987,4986,46999,47204,200000,83029,16172,Old,315361,2000836
U0143,Divit Dasgupta,27,Vadodara,787952,122240,374746,32298,22908,12021,100000,46228,2877,Old,170104,567848
U0144,Jayant Sabharwal,27,Anantapur,1430117,114315,269139,1481,47466,6772,200000,3771,21966,Old,277685,1102432
U0145,Riaan Kibe,25,Ichalkaranji,925134,250321,238588,56408,37952,1627,100000,74099,21774,New,217761,657373
U0146,Aradhya Kannan,51,Bhatpara,1789959,251659,209295,121950,35170,44432,0,120811,4083,New,205635,1534324
U0147,Tanya Raja,29,Mau,644761,60756,167969,147907,37663,8219,200000,62257,745,Old,394534,200227
U0148,Badal Chanda,34,Navi Mumbai,1347609,249083,212161,125355,44172,23464,0,17558,8749,New,201740,1095869
U0149,Elakshi Dutt,31,Durg,2277109,86378,285735,27798,47929,30232,0,58436,17325,Old,123284,2103825
U0150,Arnav Srivastava,50,Vasai-Virar,464323,185327,221559,91649,9343,42481,100000,107779,20407,Old,263880,150443
U0151,Manjari Swamy,33,Allahabad,1637715,195556,342299,64887,10637,8488,100000,124891,18680,New,202692,1385023
U0152,Aradhya Tiwari,52,Anand,1354480,175703,203950,19477,34724,34949,200000,32376,17323,Old,306473,998007
U0153,Madhup Bora,31,Vasai-Virar,1254016,106549,156229,148338,39791,44362,0,77924,17994,New,250485,953531
U0154,Mehul Bora,33,Baranagar,1553113,215575,184648,127815,29134,39932,100000,29332,22684,Old,319565,1183548
U0155,Khushi Deo,32,Jorhat,1264909,123794,118547,127426,46830,18981,100000,131001,1725,New,294962,919947
U0156,Krish Sethi,36,Visakhapatnam,2015397,287355,108795,142961,47101,901,0,46737,12213,Old,203176,1762221
U0157,Gokul Saini,26,Khammam,1188260,281804,266368,24335,3907,22444,0,130912,9528,New,60214,1078046
U0158,Prerak Bhakta,25,Karawal Nagar,1450493,95113,101447,142326,33575,42058,0,89031,14162,Old,232121,1168372
U0159,Tara Dey,40,Naihati,682762,286802,247670,86610,46799,18061,0,20991,8853,Old,160323,472439
U0160,Neelofar Contractor,47,Agartala,2005118,124069,301823,11442,4827,2881,200000,27472,7187,New,226337,1728781
U0161,Piya Gaba,47,Karaikudi,1816012,279189,336190,46289,30607,29863,100000,59946,32,Old,206791,1559221
U0162,Anahi Lal,54,Tiruvottiyur,1958506,186321,286402,53747,13699,45826,100000,1541,14893,New,228165,1680341
U0163,Sara Luthra,48,Raichur,971650,200273,332419,37327,37292,5622,200000,129237,14408,New,294649,627001
U0164,Rohan Chauhan,29,Muzaffarpur,682272,175541,309817,147271,47961,1378,0,2765,22369,Old,218979,413293
U0165,Inaaya  Saha,27,Bhiwandi,785925,239648,135077,72827,25883,17632,200000,43074,15160,Old,331502,404423
U0166,Oorja Luthra,36,Warangal,1114743,299634,192782,106464,48991,28311,0,102795,3414,Old,187180,877563
U0167,Mishti Sarin,32,Guna,803081,59686,182932,131184,5313,5650,200000,101387,17540,Old,359687,393394
U0168,Divit Goyal,46,Sambalpur,778892,293485,390925,87051,13598,45201,0,131841,19510,New,165360,563532
U0169,Madhav Mahal,51,Kottayam,405287,103363,266339,59722,45826,42224,200000,148878,24636,Old,372408,0
U0170,Ira Yohannan,27,Dindigul,1706241,147543,395942,92036,49909,7036,0,2972,12120,Old,161101,1495140
U0171,Kaira Anne,25,Sirsa,1056702,181733,178696,147595,28807,39255,0,149328,1543,Old,217200,789502
U0172,Divyansh Sule,27,Deoghar,2385296,225915,130939,66960,4887,22499,100000,103903,271,New,194617,2140679
U0173,Indrans Jayaraman,29,Burhanpur,2483592,145673,371660,19552,3854,37016,0,149725,5295,Old,65717,2367875
U0174,Shlok Raja,39,Rajkot,1878050,242035,267598,141880,45226,4603,100000,103579,20460,New,312169,1515881
U0175,Aradhya Chaudhari,38,Ghaziabad,1411293,294164,221521,887,14536,27773,0,39339,14963,Old,58159,1303134
U0176,Emir Tripathi,27,Phusro,1490654,92828,130290,31802,3558,19937,100000,103376,11580,New,166877,1273777
U0177,Pranay Tata,25,Katni,1007812,98604,364890,85024,9772,12632,0,42399,22286,Old,129714,828098
U0178,Aradhya Singh,29,Solapur,1186667,60526,147990,118639,36343,30607,0,44013,19093,Old,204682,931985
U0179,Bhamini Yohannan,50,Kottayam,1753649,118910,138810,118248,35186,26337,0,145778,21605,New,201376,1502273
U0180,Miraan Tata,47,Jamnagar,1575885,75592,198362,81938,36966,220,0,27909,12597,Old,131721,1394164
U0181,Aniruddh Shan,38,Noida,1778164,78982,226295,122746,33769,46994,0,132385,12045,Old,215554,1512610
U0182,Nitya Shenoy,31,Ramagundam,2112503,50207,213669,26049,39887,4818,0,138919,13603,Old,84357,1978146
U0183,Diya Koshy,51,Kota,1784418,282041,276749,77789,19229,7349,0,141002,9937,New,114304,1620114
U0184,Shamik Rana,33,Aligarh,786594,298253,344803,84526,9673,5618,0,3285,14830,Old,114647,621947
U0185,Arnav Tak,39,Jabalpur,1492501,138733,166516,138918,27877,27464,100000,123637,24913,New,319172,1123329
U0186,Saira Raja,39,Thanjavur,1444027,280008,154567,46220,31601,42624,200000,35863,6722,New,327167,1066860
U0187,Raghav D’Alia,50,Ahmedabad,537023,174982,357181,46163,38084,37344,0,147776,8201,New,129792,357231
U0188,Pranay Kothari,34,Suryapet,1535964,118619,206498,134837,16244,18255,100000,149777,4144,Old,273480,1212484
U0189,Eva Bedi,52,Mau,932295,210400,257810,117126,27356,24299,100000,131627,5606,New,274387,607908
U0190,Shlok Thakkar,37,Narasaraopet,1883624,96479,92109,81486,16806,47975,0,21323,6766,New,153033,1680591
U0191,Indranil Behl,43,Shahjahanpur,2356109,289499,364154,75277,23099,1462,100000,70968,17114,Old,216952,2089157
U0192,Nirvi Wadhwa,31,Vadodara,1273172,201175,350931,104245,44641,15905,0,53915,15928,New,180719,1042453
U0193,Hrishita Kannan,41,Kanpur,922244,220963,319472,122332,37034,24920,100000,109543,21274,New,305560,566684
U0194,Yashvi De,44,Ambala,1861074,191826,219544,22931,40317,16252,0,141691,1648,Old,81148,1729926
U0195,Ivana Gour,53,Jaipur,1079290,281055,326183,89116,19094,41004,100000,108500,20612,Old,269826,759464
U0196,Jayant Barad,28,Hindupur,2255619,131437,234455,55633,10589,40581,100000,111266,2130,New,208933,1996686
U0197,Darshit Chokshi,54,Bikaner,1462636,148540,324325,51913,1657,34836,0,26739,14392,Old,102798,1309838
U0198,Veer Kaul,29,Bhusawal,2186921,122982,114518,94776,32764,5753,0,128041,10588,Old,143881,1993040
U0199,Kaira Kata,47,Kottayam,1967121,152747,133909,25991,39531,40005,200000,53019,4366,Old,309893,1607228
U0200,Mannat Goyal,31,Haridwar,1229735,236994,360495,104092,3164,14175,0,7373,1506,New,122937,1056798
U0201,Samiha Dugal,37,Nagercoil,1488287,98231,280696,141633,27542,6191,100000,20187,18542,New,293908,1144379
U0202,Charvi Chaudry,39,Sirsa,735484,79301,95282,147973,18437,17898,200000,67863,19300,Old,403608,281876
U0203,Shanaya Devi,35,Karimnagar,1551550,272724,319017,95556,41247,18982,100000,97927,15222,New,271007,1230543
U0204,Samarth Keer,53,Firozabad,1850976,243783,347219,62875,38505,14622,100000,84085,12363,Old,228365,1572611
U0205,Indrans Roy,28,Saharanpur,1089376,222395,259526,62120,19601,1001,100000,117996,19613,Old,202335,837041
U0206,Anay Soni,37,Secunderabad,838774,68752,108365,133060,28430,47645,200000,39220,11795,Old,420930,367844
U0207,Ishaan Sagar,31,Muzaffarnagar,1314228,278984,353146,110041,6009,43000,0,130503,9858,Old,168908,1095320
U0208,Rati Virk,51,Bhind,1353959,263277,356091,128467,49759,23283,0,7642,12616,Old,214125,1089834
U0209,Aaina Mangat,43,Satara,1321522,148452,290294,145328,4552,21435,0,79971,22649,New,193964,1077558
U0210,Chirag Apte,46,Bharatpur,2027781,194467,196219,118490,9417,27223,200000,55556,4136,New,359266,1618515
U0211,Samiha Shan,52,Katihar,745266,267029,394286,126155,41989,37244,100000,38192,13478,New,318866,376400
U0212,Bhamini Singh,26,Salem,1938601,171237,136307,28230,2671,30024,0,135453,11161,New,72086,1816515
U0213,Arhaan Chacko,34,Bihar Sharif,743054,106273,215565,59778,6519,49630,200000,30782,2689,Old,318616,374438
U0214,Madhup Tak,37,Nanded,1716128,141878,335095,45833,36730,30734,0,4782,23574,Old,136871,1529257
U0215,Jiya Sen,54,Lucknow,1507955,54895,392229,22625,12734,515,0,60030,2810,New,38684,1419271
U0216,Ishita Rajan,49,Ambala,1473629,169968,114228,32088,45890,45246,100000,56411,11663,New,234887,1188742
U0217,Oorja Dhaliwal,45,Raurkela Industrial Township,1851238,165700,290748,103937,3722,1191,0,97469,6152,Old,115002,1686236
U0218,Bhavin Tak,30,Patna,1721509,126559,123472,76361,4906,32264,200000,46950,12,Old,313543,1357966
U0219,Lakshit Solanki,52,Ghaziabad,2332728,60699,391581,88229,30096,43628,0,133595,11162,Old,173115,2109613
U0220,Tanya Jhaveri,52,Muzaffarnagar,1253088,246133,217888,135189,40031,46216,200000,140749,22322,New,443758,759330
U0221,Ranbir Bhatt,36,Proddatur,2299492,59715,157175,90265,13699,6297,100000,146161,7999,Old,218260,2031232
U0222,Shlok Dora,36,Faridabad,1480730,69169,144307,97718,21438,27856,0,135653,7219,Old,154231,1276499
U0223,Jhanvi Vala,44,Kozhikode,1814397,168413,388877,60710,43856,49423,200000,142979,5328,New,359317,1405080
U0224,Kiara Sastry,54,Sonipat,2302787,197235,175028,94876,33576,8334,100000,136681,3621,New,240407,2012380
U0225,Mahika Wable,54,Malegaon,1245633,169264,222312,30949,41938,24162,0,50539,20067,New,117116,1078517
U0226,Aaryahi Jhaveri,35,Dindigul,1623520,55782,172493,68136,49028,6008,0,22936,24256,Old,147428,1426092
U0227,Neysa Sampath,50,Ahmedabad,2019061,269249,205149,111541,49877,7987,200000,50182,11665,Old,381070,1587991
U0228,Ishaan Bala,47,Patna,1896972,174481,309416,61842,32247,30966,0,111259,21694,New,146749,1700223
U0229,Mannat Chopra,52,Eluru,1603358,265400,282435,26990,43461,3332,0,95042,11314,Old,85097,1468261
U0230,Adira Mander,49,Surendranagar Dudhrej,2299443,296100,243834,147265,27938,787,0,13163,652,Old,176642,2072801
U0231,Emir Bava,31,Adoni,1839758,85585,350403,30109,40469,38990,0,143609,22183,Old,131751,1658007
U0232,Kimaya Ganesan,54,Asansol,2205468,80682,261211,130356,17600,9873,100000,22419,16182,New,274011,1881457
U0233,Prerak Verma,25,Madurai,526108,228936,356993,128133,20435,17006,0,121211,8812,New,174386,301722
U0234,Badal Rajagopalan,25,Bangalore,2107692,179992,397013,1306,18581,20225,0,122762,3790,Old,43902,2013790
U0235,Manikya Johal,49,Patna,1731329,134416,143095,3849,14191,36444,0,834,15659,Old,70143,1611186
U0236,Tushar Bail,51,Danapur,2480154,236186,197886,12360,19190,35340,0,32214,1645,Old,68535,2361619
U0237,Azad Dani,54,Bharatpur,737827,177810,365711,111072,27386,39683,200000,2413,10435,Old,388576,299251
